direction,forecast_th_pct,validation_min_count,signal_count_raw,win_rate_before_cost_raw,win_rate_after_cost_raw,avg_return_before_cost_raw,avg_return_after_cost_raw,median_return_before_cost_raw,median_return_after_cost_raw,total_return_before_cost_raw,total_return_after_cost_raw,signal_count_nonoverlap,win_rate_before_cost_nonoverlap,win_rate_after_cost_nonoverlap,avg_return_before_cost_nonoverlap,avg_return_after_cost_nonoverlap,median_return_before_cost_nonoverlap,median_return_after_cost_nonoverlap,total_return_before_cost_nonoverlap,total_return_after_cost_nonoverlap
LONG,1,1,2172,0.4871086556169429,0.4548802946593002,-0.006452346387765518,-0.00942852359470304,-0.0013450948513114,-0.00433657085701078,-0.9999999224170817,-0.9999999998852104,42,0.47619047619047616,0.4523809523809524,-0.006476846170036761,-0.009452949987747997,-0.00220524045759095,-0.005194139892615746,-0.26694248711617685,-0.3537256334531458
LONG,1,2,1670,0.47904191616766467,0.4473053892215569,-0.007891513754824324,-0.010863379928366283,-0.00208872761694305,-0.005077976066793,-0.999999743971164,-0.9999999982920585,41,0.43902439024390244,0.3902439024390244,-0.004140456344559222,-0.007123558830245608,-0.0086568521981473,-0.011626425796368522,-0.18637253251462116,-0.280538817764734
LONG,1,3,624,0.4951923076923077,0.46474358974358976,-0.0064348727663321665,-0.00941110231559433,-0.00130395049721,-0.004295549751037853,-0.9915055688378246,-0.9986934235447577,35,0.5142857142857142,0.5142857142857142,-0.002761595204980809,-0.005748828076442055,0.0098416133207961,0.00681662747209999,-0.13296558331998154,-0.21938767322778163
LONG,2,1,2091,0.4844571975131516,0.4519368723098996,-0.006808647348904997,-0.009783757254444848,-0.0015025139075975,-0.004493518363688165,-0.9999999355731476,-0.999999999878455,40,0.5,0.425,-0.00514886946141698,-0.008128951240323309,-0.001754431430946,-0.004744681266774353,-0.2193599928956368,-0.3076344447510875
LONG,2,2,1619,0.47745521927115503,0.4459542927733169,-0.008076632625974451,-0.011047944274967046,-0.0021530099856693,-0.005142065877346669,-0.9999997099541059,-0.9999999977452526,40,0.45,0.4,-0.003450304565101245,-0.006435474404062414,-0.00902129951493115,-0.01198978140930368,-0.16205216689019686,-0.25680696420785676
LONG,2,3,605,0.4975206611570248,0.46611570247933887,-0.006561509146902289,-0.009537359356222321,-0.0006462230711895,-0.0036397925509713547,-0.9910314291616082,-0.9985395773460941,34,0.5,0.5,-0.003979641049466158,-0.006963225258212354,0.0033381796746388003,0.0003326748955361225,-0.16557549399413685,-0.24649003165451233
LONG,3,1,2042,0.4813907933398629,0.44809010773751223,-0.007171561663053188,-0.010145584456861747,-0.00167758576706645,-0.004668065794484033,-0.999999955388259,-0.9999999999025099,39,0.48717948717948717,0.4358974358974359,-0.0064055590496849045,-0.009381876408339016,-0.0075821145558286,-0.010554907536293734,-0.2516800572902369,-0.33430567868806804
LONG,3,2,1585,0.4757097791798107,0.44353312302839115,-0.008422328054059307,-0.011392604170584113,-0.0022752943662086,-0.005263983954382767,-0.9999997717592121,-0.9999999980351814,39,0.4358974358974359,0.38461538461538464,-0.004895348240020219,-0.007876189443074805,-0.009385746831715,-0.012353137022238836,-0.20416642712771105,-0.2920382580583649
LONG,3,3,599,0.4991652754590985,0.4674457429048414,-0.0065527154332816065,-0.009528591984216912,-0.0002573581556227,-0.0032520924822984076,-0.990586696702033,-0.9984393170967358,34,0.5,0.5,-0.0038356794675494382,-0.006819694913969254,0.00328060123317075,0.0002752689305913769,-0.16074259175970262,-0.24212577822778003
LONG,4,1,1944,0.47788065843621397,0.4444444444444444,-0.007813141360337677,-0.010785242298798334,-0.001916013761118,-0.0049057795762289524,-0.9999999708513032,-0.9999999999145301,39,0.48717948717948717,0.4358974358974359,-0.005878498419550156,-0.008856394591085946,-0.0075821145558286,-0.010554907536293734,-0.23597605836602287,-0.3203356341802571
LONG,4,2,1512,0.47156084656084657,0.4398148148148148,-0.00898160642459865,-0.011950207219831433,-0.0025722057397774,-0.0055600059283750225,-0.9999997998304576,-0.9999999978549484,38,0.42105263157894735,0.3684210526315789,-0.005614321982928131,-0.00859300949636527,-0.00940762795640775,-0.012374952601907796,-0.22153056174574115,-0.3054044701023082
LONG,4,3,577,0.49566724436741766,0.4662045060658579,-0.007403585911134683,-0.01037691367509129,-0.0013506188248477,-0.004342078283455342,-0.9931648491881487,-0.9987894460051312,32,0.5625,0.5625,-0.004122223646461255,-0.007105380748290393,0.0103791865140141,0.007352590361998423,-0.1574425014431602,-0.23456684946265238
LONG,5,1,1744,0.48394495412844035,0.4541284403669725,-0.008015616567701793,-0.010987110990616932,-0.0016665880456423,-0.0046571010167920646,-0.9999998874757798,-0.9999999993988031,38,0.47368421052631576,0.4473684210526316,-0.005408949105809914,-0.008388251814777516,-0.0077651156816198,-0.010737360481252956,-0.2173898088181483,-0.3017098504646165
LONG,5,2,1367,0.4776883686905633,0.4476956839795172,-0.009284511064363841,-0.012252204507159666,-0.0024255739865978,-0.00541381341138103,-0.9999994647395188,-0.9999999911381772,38,0.42105263157894735,0.39473684210526316,-0.006375857627465955,-0.009352263956886103,-0.00983936927549325,-0.012805400637607767,-0.24284313713863803,-0.3244207845149988
LONG,5,3,521,0.5028790786948176,0.4740882917466411,-0.0075143456155236715,-0.010487341598204915,1.1425777009854698e-05,-0.0029841136933458356,-0.9898189837506594,-0.9978670106565906,32,0.53125,0.5,-0.003743325732461644,-0.006727617824979253,0.00289848700150425,-0.00010570067589010801,-0.14664142031035465,-0.22475445615435685
